,Title,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Budget,Runtime
1,12 Years a Slave,8.1,496092,Biography,Drama,History,96,"$20,000,000 ",134 min
2,127 Hours,7.6,297075,Adventure,Biography,Drama,82,"$18,000,000 ",94 min
3,50/50,7.7,283935,Comedy,Drama,Romance,72,"$8,000,000 ",100 min
4,About Time,7.8,225412,Comedy,Drama,Fantasy,50,"$12,000,000 ",123 min
5,Amour,7.9,76121,Drama,Romance,Fantasy,94,"$8,900,000 ",127 min
6,Argo,7.7,486840,Action,Biography,Drama,86,"$44,500,000 ",120 min
7,Arrival,8,370842,Drama,Mystery,Sci-Fi,81,"$47,000,000 ",116 min
8,Beasts of No 50tion,7.8,51781,Drama,War,Sci-Fi,79,"$6,000,000 ",137 min
9,Before Midnight,7.9,106553,Drama,Romance,Sci-Fi,94,"$3,000,000 ",109 min
10,Birdman or,7.8,448725,Comedy,Drama,Sci-Fi,88,"$18,000,000 ",119 min
11,Black Swan,8,587893,Drama,Thriller,Sci-Fi,79,"$13,000,000 ",108 min
12,Boyhood,7.9,290327,Drama,Thriller,Sci-Fi,100,"$4,000,000 ",165 min
13,Bridge of Spies,7.6,223756,Drama,History,Thriller,81,"$40,000,000 ",142 min
14,Captain America: Civil War,7.9,431555,Action,Adventure,Sci-Fi,75,"$250,000,000 ",147 min
15,Captain America: The Winter Soldier,7.8,552706,Action,Adventure,Sci-Fi,70,"$170,000,000 ",136 min
16,Captain Phillips,7.8,350818,Biography,Drama,Thriller,83,"$55,000,000 ",134 min
17,Creed,7.6,179795,Drama,Sport,Thriller,82,"$35,000,000 ",133 min
18,Dallas Buyers Club,8,357641,Biography,Drama,Thriller,84,"$5,000,000 ",117 min
19,Dawn of the Planet of the Apes,7.6,349646,Action,Adventure,Drama,79,"$170,000,000 ",130 min
20,Deadpool,8,652127,Action,Adventure,Comedy,65,"$58,000,000 ",108 min
21,Disconnect,7.6,65448,Drama,Thriller,Comedy,64,"$10,000,000 ",115 min
22,Django Unchained,8.4,1056822,Drama,Western,Comedy,81,"$100,000,000 ",165 min
23,Doctor Strange,7.6,328932,Action,Adventure,Fantasy,72,"$165,000,000 ",115 min
24,Drive,7.8,467642,Crime,Drama,Fantasy,78,"$15,000,000 ",100 min
25,Edge of Tomorrow,7.9,480513,Action,Adventure,Sci-Fi,71,"$178,000,000 ",113 min
26,End of Watch,7.7,194675,Crime,Drama,Thriller,68,"$7,000,000 ",109 min
27,Ex Machi50,7.7,348550,Drama,Mystery,Sci-Fi,78,"$15,000,000 ",108 min
28,Flipped,7.7,66461,Comedy,Drama,Romance,50,"$14,000,000 ",110 min
29,Fury,7.6,337571,Action,Drama,War,64,"$68,000,000 ",134 min
30,Gone Girl,8.1,649474,Crime,Drama,Mystery,79,"$61,000,000 ",149 min
31,Gravity,7.8,630890,Drama,Sci-Fi,Thriller,96,"$100,000,000 ",91 min
32,Guardians of the Galaxy,8.1,778220,Action,Adventure,Sci-Fi,76,"$170,000,000 ",121 min
33,Hacksaw Ridge,8.2,244314,Biography,Drama,History,71,"$40,000,000 ",139 min
34,Harry Potter and the Deathly Hallows: Part 1,7.7,363226,Adventure,Family,Fantasy,65,"$150,000,000",146 min
35,Hell or High Water,7.7,125026,Crime,Drama,Thriller,88,"$12,000,000 ",102 min
36,Her,8,398431,Drama,Romance,Sci-Fi,90,"$23,000,000 ",126 min
37,Hidden Figures,7.8,111357,Biography,Drama,History,74,"$25,000,000 ",127 min
38,Hugo,7.5,261953,Adventure,Drama,Family,83,"$150,000,000 ",126 min
